time,total_events,window_size,slide
1   ,4404        ,5          ,0.5
2   ,8728        ,5          ,0.5
3   ,13563       ,5          ,0.5
4   ,16751       ,5          ,0.5
5   ,21604       ,5          ,0.5
6   ,26215       ,5          ,0.5
7   ,30912       ,5          ,0.5
8   ,33652       ,5          ,0.5
9   ,37976       ,5          ,0.5
10  ,41909       ,5          ,0.5
11  ,46614       ,5          ,0.5
12  ,50944       ,5          ,0.5
13  ,54965       ,5          ,0.5
14  ,58906       ,5          ,0.5
15  ,62747       ,5          ,0.5
16  ,65541       ,5          ,0.5
17  ,70224       ,5          ,0.5
18  ,74724       ,5          ,0.5
19  ,78260       ,5          ,0.5
20  ,81968       ,5          ,0.5
21  ,86458       ,5          ,0.5
22  ,88994       ,5          ,0.5
23  ,93455       ,5          ,0.5
24  ,97535       ,5          ,0.5
25  ,101179      ,5          ,0.5
26  ,104814      ,5          ,0.5
27  ,107889      ,5          ,0.5
28  ,111546      ,5          ,0.5
29  ,116376      ,5          ,0.5
30  ,120339      ,5          ,0.5
31  ,124380      ,5          ,0.5
32  ,128891      ,5          ,0.5
33  ,132592      ,5          ,0.5
34  ,136728      ,5          ,0.5
35  ,139730      ,5          ,0.5
36  ,143962      ,5          ,0.5
37  ,146901      ,5          ,0.5
38  ,150632      ,5          ,0.5
39  ,153875      ,5          ,0.5
40  ,158119      ,5          ,0.5
41  ,161924      ,5          ,0.5
42  ,164910      ,5          ,0.5
43  ,169581      ,5          ,0.5
44  ,173931      ,5          ,0.5
45  ,177103      ,5          ,0.5
46  ,181047      ,5          ,0.5
47  ,184503      ,5          ,0.5
48  ,187740      ,5          ,0.5
49  ,190609      ,5          ,0.5
50  ,194714      ,5          ,0.5
51  ,198643      ,5          ,0.5
52  ,201488      ,5          ,0.5
53  ,205588      ,5          ,0.5
54  ,210011      ,5          ,0.5
55  ,213802      ,5          ,0.5
56  ,216100      ,5          ,0.5
57  ,220758      ,5          ,0.5
58  ,223869      ,5          ,0.5
59  ,226546      ,5          ,0.5
60  ,230328      ,5          ,0.5
61  ,234255      ,5          ,0.5
62  ,237660      ,5          ,0.5
63  ,240807      ,5          ,0.5
64  ,243590      ,5          ,0.5
65  ,248335      ,5          ,0.5
66  ,251614      ,5          ,0.5
67  ,255086      ,5          ,0.5
68  ,258954      ,5          ,0.5
69  ,261844      ,5          ,0.5
70  ,264750      ,5          ,0.5
71  ,268736      ,5          ,0.5
72  ,271362      ,5          ,0.5
73  ,275284      ,5          ,0.5
74  ,278229      ,5          ,0.5
75  ,281962      ,5          ,0.5
76  ,286063      ,5          ,0.5
77  ,288919      ,5          ,0.5
78  ,292836      ,5          ,0.5
79  ,296073      ,5          ,0.5
80  ,298708      ,5          ,0.5
81  ,301169      ,5          ,0.5
82  ,305325      ,5          ,0.5
83  ,308644      ,5          ,0.5
84  ,311754      ,5          ,0.5
85  ,314699      ,5          ,0.5
86  ,318735      ,5          ,0.5
87  ,322153      ,5          ,0.5
88  ,325320      ,5          ,0.5
89  ,328974      ,5          ,0.5
90  ,331706      ,5          ,0.5
91  ,333979      ,5          ,0.5
92  ,337605      ,5          ,0.5
93  ,340840      ,5          ,0.5
94  ,344231      ,5          ,0.5
95  ,347029      ,5          ,0.5
96  ,350448      ,5          ,0.5
97  ,354298      ,5          ,0.5
98  ,357745      ,5          ,0.5
99  ,360939      ,5          ,0.5
100 ,364984      ,5          ,0.5
101 ,367587      ,5          ,0.5
102 ,370683      ,5          ,0.5
103 ,374050      ,5          ,0.5
104 ,377278      ,5          ,0.5
105 ,380093      ,5          ,0.5
106 ,383297      ,5          ,0.5
107 ,387053      ,5          ,0.5
108 ,390360      ,5          ,0.5
109 ,392750      ,5          ,0.5
110 ,396226      ,5          ,0.5
111 ,399331      ,5          ,0.5
112 ,401870      ,5          ,0.5
113 ,405234      ,5          ,0.5
114 ,408357      ,5          ,0.5
115 ,411322      ,5          ,0.5
116 ,414204      ,5          ,0.5
117 ,417595      ,5          ,0.5
118 ,420963      ,5          ,0.5
119 ,424064      ,5          ,0.5
120 ,426597      ,5          ,0.5
121 ,429948      ,5          ,0.5
122 ,432557      ,5          ,0.5
123 ,435467      ,5          ,0.5
124 ,438673      ,5          ,0.5
125 ,441727      ,5          ,0.5
126 ,444357      ,5          ,0.5
127 ,447446      ,5          ,0.5
128 ,450800      ,5          ,0.5
129 ,453976      ,5          ,0.5
130 ,456405      ,5          ,0.5
131 ,458653      ,5          ,0.5
132 ,462335      ,5          ,0.5
133 ,464829      ,5          ,0.5
134 ,467886      ,5          ,0.5
135 ,470961      ,5          ,0.5
136 ,473670      ,5          ,0.5
137 ,476357      ,5          ,0.5
138 ,479612      ,5          ,0.5
139 ,482720      ,5          ,0.5
140 ,485505      ,5          ,0.5
141 ,487667      ,5          ,0.5
142 ,490741      ,5          ,0.5
143 ,493350      ,5          ,0.5
144 ,496181      ,5          ,0.5
145 ,499150      ,5          ,0.5
146 ,501986      ,5          ,0.5
147 ,504521      ,5          ,0.5
148 ,507433      ,5          ,0.5
149 ,510576      ,5          ,0.5
150 ,514691      ,5          ,0.5
151 ,516991      ,5          ,0.5
152 ,519414      ,5          ,0.5
153 ,522293      ,5          ,0.5
154 ,524949      ,5          ,0.5
155 ,527768      ,5          ,0.5
156 ,531284      ,5          ,0.5
157 ,533766      ,5          ,0.5
158 ,536522      ,5          ,0.5
159 ,539619      ,5          ,0.5
160 ,543173      ,5          ,0.5
161 ,546062      ,5          ,0.5
162 ,548247      ,5          ,0.5
