time,total_events,window_size,slide
1.0  ,20502       ,5          ,1.0
2.0  ,39702       ,5          ,1.0
3.0  ,64850       ,5          ,1.0
4.0  ,78454       ,5          ,1.0
5.0  ,102470      ,5          ,1.0
6.0  ,117895      ,5          ,1.0
7.0  ,133379      ,5          ,1.0
8.0  ,157662      ,5          ,1.0
9.0  ,178471      ,5          ,1.0
10.0 ,201487      ,5          ,1.0
11.0 ,218513      ,5          ,1.0
12.0 ,236556      ,5          ,1.0
13.0 ,256041      ,5          ,1.0
14.0 ,276851      ,5          ,1.0
15.0 ,290724      ,5          ,1.0
16.0 ,317424      ,5          ,1.0
17.0 ,339383      ,5          ,1.0
18.0 ,359546      ,5          ,1.0
19.0 ,380053      ,5          ,1.0
20.0 ,402556      ,5          ,1.0
21.0 ,421386      ,5          ,1.0
22.0 ,443970      ,5          ,1.0
23.0 ,449191      ,5          ,1.0
24.0 ,473592      ,5          ,1.0
25.0 ,494823      ,5          ,1.0
26.0 ,517682      ,5          ,1.0
27.0 ,539282      ,5          ,1.0
28.0 ,556461      ,5          ,1.0
29.0 ,574710      ,5          ,1.0
30.0 ,595646      ,5          ,1.0
31.0 ,602545      ,5          ,1.0
32.0 ,629868      ,5          ,1.0
33.0 ,651877      ,5          ,1.0
34.0 ,671103      ,5          ,1.0
35.0 ,692158      ,5          ,1.0
36.0 ,712492      ,5          ,1.0
37.0 ,732064      ,5          ,1.0
38.0 ,754661      ,5          ,1.0
39.0 ,761633      ,5          ,1.0
40.0 ,788310      ,5          ,1.0
41.0 ,810252      ,5          ,1.0
42.0 ,831632      ,5          ,1.0
43.0 ,854617      ,5          ,1.0
44.0 ,871172      ,5          ,1.0
45.0 ,892681      ,5          ,1.0
46.0 ,910878      ,5          ,1.0
47.0 ,935333      ,5          ,1.0
48.0 ,957208      ,5          ,1.0
49.0 ,980082      ,5          ,1.0
50.0 ,1004095     ,5          ,1.0
51.0 ,1027010     ,5          ,1.0
52.0 ,1045462     ,5          ,1.0
